year,issue_date,week,song,artist
2017,2017-02-18,2017-02-18,"Shape of You"" †",Ed Sheeran
2017,2017-05-06,2017-05-06,Humble,Kendrick Lamar
2017,2017-05-13,2017-05-13,That's What I Like,Bruno Mars
2017,2017-05-20,2017-05-20,I'm the One,"DJ Khaled featuring Justin Bieber , Quavo , Chance the Rapper and Lil Wayne"
2017,2017-05-27,2017-05-27,Despacito,Luis Fonsi and Daddy Yankee featuring Justin Bieber
2017,2017-09-16,2017-09-16,Look What You Made Me Do,Taylor Swift
2017,2017-10-07,2017-10-07,Bodak Yellow,Cardi B
2017,2017-10-28,2017-10-28,Rockstar,Post Malone featuring 21 Savage
2017,2017-12-23,2017-12-23,Perfect,Ed Sheeran and Beyoncé
2018,,,,
2018,2018-01-03,2018-01-03,Perfect,Ed Sheeran and Beyoncé
2018,2018-01-27,2018-01-27,Havana,Camila Cabello featuring Young Thug
2018,2018-02-03,2018-02-03,"God's Plan "" †",Drake
2018,2018-04-21,2018-04-21,Nice for What,[ 34 ] [ 35 ]
2018,2018-05-19,2018-05-19,This Is America,Childish Gambino
2018,2018-06-02,2018-06-02,Nice for What,Drake
2018,2018-06-16,2018-06-16,Psycho,Post Malone featuring Ty Dolla Sign
2018,2018-06-23,2018-06-23,Nice for What,Drake
2018,2018-06-30,2018-06-30,Sad!,XXXTentacion
2018,2018-07-07,2018-07-07,I Like It,"Cardi B , Bad Bunny and J Balvin"
2018,2018-07-14,2018-07-14,Nice for What,Drake
2018,2018-07-21,2018-07-21,In My Feelings,[ 60 ] [ 61 ]
2018,2018-09-29,2018-09-29,Girls Like You,Maroon 5 featuring Cardi B
2018,2018-11-17,2018-11-17,"Thank U, Next",Ariana Grande
2018,2018-12-08,2018-12-08,Sicko Mode,Travis Scott
2018,2018-12-15,2018-12-15,"Thank U, Next",Ariana Grande
2019,,,,
2019,2019-01-05,2019-01-05,"Thank U, Next",Ariana Grande
2019,2019-01-12,2019-01-12,Without Me,Halsey
2019,2019-01-19,2019-01-19,Sunflower,Post Malone and Swae Lee
2019,2019-01-26,2019-01-26,Without Me,Halsey
2019,2019-02-02,2019-02-02,7 Rings,Ariana Grande
2019,2019-03-09,2019-03-09,Shallow,Lady Gaga and Bradley Cooper
2019,2019-03-16,2019-03-16,Sucker,Jonas Brothers
2019,2019-03-23,2019-03-23,7 Rings,Ariana Grande
2019,2019-04-13,2019-04-13,"Old Town Road "" †",Lil Nas X
2019,2019-08-24,2019-08-24,Bad Guy,Billie Eilish
2019,2019-08-31,2019-08-31,Señorita,Shawn Mendes and Camila Cabello
2019,2019-09-07,2019-09-07,Truth Hurts,Lizzo
2019,2019-10-19,2019-10-19,Highest in the Room,Travis Scott
2019,2019-10-26,2019-10-26,Truth Hurts,Lizzo
2019,2019-11-02,2019-11-02,Someone You Loved,Lewis Capaldi
2019,2019-11-09,2019-11-09,Lose You to Love Me,Selena Gomez
2019,2019-11-16,2019-11-16,Someone You Loved,Lewis Capaldi
2019,2019-11-30,2019-11-30,Circles,Post Malone
2019,2019-12-14,2019-12-14,Heartless,The Weeknd
2019,2019-12-21,2019-12-21,All I Want for Christmas Is You,Mariah Carey
2020,,,,
2020,2020-01-04,2020-01-04,All I Want for Christmas Is You,Mariah Carey
2020,2020-01-11,2020-01-11,Circles,Post Malone
2020,2020-01-18,2020-01-18,The Box,Roddy Ricch
2020,2020-04-04,2020-04-04,"Blinding Lights "" †",The Weeknd
2020,2020-04-18,2020-04-18,Toosie Slide,Drake
2020,2020-04-25,2020-04-25,"Blinding Lights"" †",The Weeknd
2020,2020-05-09,2020-05-09,The Scotts,"The Scotts, [ a ] Travis Scott and Kid Cudi"
2020,2020-05-16,2020-05-16,Say So,Doja Cat featuring Nicki Minaj
2020,2020-05-23,2020-05-23,Stuck with U,Ariana Grande and Justin Bieber
2020,2020-05-30,2020-05-30,Savage,Megan Thee Stallion featuring Beyoncé
2020,2020-06-06,2020-06-06,Rain on Me,Lady Gaga and Ariana Grande
2020,2020-06-13,2020-06-13,Rockstar,DaBaby featuring Roddy Ricch
2020,2020-06-27,2020-06-27,Trollz,6ix9ine and Nicki Minaj
2020,2020-07-04,2020-07-04,Rockstar,DaBaby featuring Roddy Ricch
2020,2020-08-08,2020-08-08,Cardigan,Taylor Swift
2020,2020-08-15,2020-08-15,Watermelon Sugar,Harry Styles
2020,2020-08-22,2020-08-22,WAP,Cardi B featuring Megan Thee Stallion
2020,2020-09-05,2020-09-05,Dynamite,BTS
2020,2020-09-19,2020-09-19,WAP,Cardi B featuring Megan Thee Stallion
2020,2020-10-03,2020-10-03,Dynamite,BTS
2020,2020-10-10,2020-10-10,Franchise,Travis Scott featuring Young Thug and M.I.A.
2020,2020-10-17,2020-10-17,Savage Love (Laxed – Siren Beat),"Jawsh 685 , Jason Derulo and BTS"
2020,2020-10-24,2020-10-24,Mood,24kGoldn featuring Iann Dior
2020,2020-11-07,2020-11-07,Positions,Ariana Grande
2020,2020-11-14,2020-11-14,Mood,24kGoldn featuring Iann Dior
2020,2020-12-05,2020-12-05,Life Goes On,BTS
2020,2020-12-12,2020-12-12,Mood,24kGoldn featuring Iann Dior
2020,2020-12-19,2020-12-19,All I Want for Christmas Is You,Mariah Carey
2020,2020-12-26,2020-12-26,Willow,Taylor Swift
2021,,,,
2021,2021-01-02,2021-01-02,All I Want for Christmas Is You,Mariah Carey
2021,2021-01-09,2021-01-09,Mood,24kGoldn featuring Iann Dior
2021,2021-01-23,2021-01-23,Drivers License,Olivia Rodrigo
2021,2021-03-20,2021-03-20,What's Next,Drake
2021,2021-03-27,2021-03-27,Up,Cardi B
2021,2021-04-03,2021-04-03,Peaches,Justin Bieber featuring Daniel Caesar and Giveon
2021,2021-04-10,2021-04-10,Montero (Call Me by Your Name),Lil Nas X
2021,2021-04-17,2021-04-17,Leave the Door Open,Silk Sonic ( Bruno Mars and Anderson .Paak ) [ note 1 ]
2021,2021-04-24,2021-04-24,Rapstar,Polo G
2021,2021-05-08,2021-05-08,Save Your Tears,The Weeknd and Ariana Grande
2021,2021-05-22,2021-05-22,Leave the Door Open,Silk Sonic (Bruno Mars and Anderson .Paak)
2021,2021-05-29,2021-05-29,Good 4 U,Olivia Rodrigo
2021,2021-06-05,2021-06-05,Butter,BTS
2021,2021-07-24,2021-07-24,Permission to Dance,[ 62 ] [ 63 ]
2021,2021-07-31,2021-07-31,Butter,[ 64 ] [ 65 ]
2021,2021-08-14,2021-08-14,Stay,The Kid Laroi and Justin Bieber
2021,2021-09-11,2021-09-11,Butter,BTS
2021,2021-09-18,2021-09-18,Way 2 Sexy,Drake featuring Future and Young Thug
2021,2021-09-25,2021-09-25,Stay,The Kid Laroi and Justin Bieber
2021,2021-10-09,2021-10-09,My Universe,Coldplay and BTS
2021,2021-10-16,2021-10-16,Stay,The Kid Laroi and Justin Bieber
2021,2021-10-23,2021-10-23,Industry Baby,Lil Nas X and Jack Harlow
2021,2021-10-30,2021-10-30,Easy on Me,Adele
2021,2021-11-27,2021-11-27,All Too Well (Taylor's Version),Taylor Swift
2021,2021-12-04,2021-12-04,Easy on Me,Adele
2021,2021-12-25,2021-12-25,All I Want for Christmas Is You,Mariah Carey
2022,,,,
2022,2022-01-01,2022-01-01,All I Want for Christmas Is You,Mariah Carey
2022,2022-01-15,2022-01-15,Easy on Me,Adele
2022,2022-02-05,2022-02-05,We Don't Talk About Bruno,"Carolina Gaitán , Mauro Castillo, Adassa , Rhenzy Feliz , Diane Guerrero , Stephanie Beatriz and the Encanto cast"
2022,2022-03-12,2022-03-12,"Heat Waves "" †",Glass Animals
2022,2022-04-16,2022-04-16,As It Was,Harry Styles
2022,2022-04-23,2022-04-23,First Class,Jack Harlow
2022,2022-04-30,2022-04-30,As It Was,Harry Styles
2022,2022-05-14,2022-05-14,Wait for U,Future featuring Drake and Tems
2022,2022-05-21,2022-05-21,First Class,Jack Harlow
2022,2022-06-04,2022-06-04,As It Was,Harry Styles
2022,2022-07-02,2022-07-02,Jimmy Cooks,Drake featuring 21 Savage
2022,2022-07-09,2022-07-09,As It Was,Harry Styles
2022,2022-07-30,2022-07-30,About Damn Time,Lizzo
2022,2022-08-13,2022-08-13,Break My Soul,Beyoncé
2022,2022-08-27,2022-08-27,Super Freaky Girl,Nicki Minaj
2022,2022-09-03,2022-09-03,As It Was,Harry Styles
2022,2022-10-08,2022-10-08,Bad Habit,Steve Lacy
2022,2022-10-29,2022-10-29,Unholy,Sam Smith and Kim Petras
2022,2022-11-05,2022-11-05,Anti-Hero,Taylor Swift
2022,2022-12-17,2022-12-17,All I Want for Christmas Is You,Mariah Carey
2023,,,,
2023,2023-01-07,2023-01-07,All I Want for Christmas Is You,Mariah Carey
2023,2023-01-14,2023-01-14,Anti-Hero,Taylor Swift
2023,2023-01-28,2023-01-28,Flowers,Miley Cyrus
2023,2023-03-11,2023-03-11,Die for You,The Weeknd and Ariana Grande
2023,2023-03-18,2023-03-18,"Last Night "" †",Morgan Wallen
2023,2023-03-25,2023-03-25,Flowers,Miley Cyrus
2023,2023-04-08,2023-04-08,Like Crazy,Jimin
2023,2023-04-15,2023-04-15,"Last Night"" †",Morgan Wallen
2023,2023-04-29,2023-04-29,Kill Bill,SZA
2023,2023-05-06,2023-05-06,"Last Night"" †",Morgan Wallen
2023,2023-07-15,2023-07-15,Vampire,Olivia Rodrigo
2023,2023-07-22,2023-07-22,"Last Night"" †",Morgan Wallen
2023,2023-07-29,2023-07-29,Seven,Jung Kook featuring Latto
2023,2023-08-05,2023-08-05,Try That in a Small Town,Jason Aldean
2023,2023-08-12,2023-08-12,"Last Night"" †",Morgan Wallen
2023,2023-08-26,2023-08-26,Rich Men North of Richmond,Oliver Anthony Music
2023,2023-09-09,2023-09-09,I Remember Everything,Zach Bryan featuring Kacey Musgraves
2023,2023-09-16,2023-09-16,Paint the Town Red,Doja Cat
2023,2023-09-23,2023-09-23,Vampire,Olivia Rodrigo
2023,2023-09-30,2023-09-30,Slime You Out,Drake featuring SZA
2023,2023-10-07,2023-10-07,Paint the Town Red,Doja Cat
2023,2023-10-21,2023-10-21,First Person Shooter,Drake featuring J. Cole
2023,2023-10-28,2023-10-28,Cruel Summer,Taylor Swift
2023,2023-11-11,2023-11-11,Is It Over Now?,[ 92 ] [ 6 ]
2023,2023-11-18,2023-11-18,Cruel Summer,[ 93 ] [ 94 ]
2023,2023-12-02,2023-12-02,Lovin on Me,Jack Harlow
2023,2023-12-09,2023-12-09,Rockin' Around the Christmas Tree,Brenda Lee
2023,2023-12-23,2023-12-23,All I Want for Christmas Is You,Mariah Carey
2024,,,,
2024,2024-01-06,2024-01-06,Rockin' Around the Christmas Tree,Brenda Lee
2024,2024-01-13,2024-01-13,Lovin on Me,Jack Harlow
2024,2024-01-27,2024-01-27,"Yes, And?",Ariana Grande
2024,2024-02-03,2024-02-03,Lovin on Me,Jack Harlow
2024,2024-02-10,2024-02-10,Hiss,Megan Thee Stallion
2024,2024-02-17,2024-02-17,Lovin on Me,Jack Harlow
2024,2024-03-02,2024-03-02,Texas Hold 'Em,Beyoncé
2024,2024-03-16,2024-03-16,Carnival,¥$ : Ye and Ty Dolla Sign featuring Rich the Kid and Playboi Carti
2024,2024-03-23,2024-03-23,We Can't Be Friends (Wait for Your Love),Ariana Grande
2024,2024-03-30,2024-03-30,"Lose Control "" †",Teddy Swims
2024,2024-04-06,2024-04-06,Like That,"Future , Metro Boomin and Kendrick Lamar"
2024,2024-04-27,2024-04-27,Too Sweet,Hozier
2024,2024-05-04,2024-05-04,Fortnight,Taylor Swift featuring Post Malone
2024,2024-05-18,2024-05-18,Not Like Us,Kendrick Lamar
2024,2024-05-25,2024-05-25,I Had Some Help,Post Malone featuring Morgan Wallen
2024,2024-06-29,2024-06-29,Please Please Please,Sabrina Carpenter
2024,2024-07-06,2024-07-06,I Had Some Help,Post Malone featuring Morgan Wallen
2024,2024-07-13,2024-07-13,A Bar Song (Tipsy),Shaboozey
2024,2024-07-20,2024-07-20,Not Like Us,Kendrick Lamar
2024,2024-07-27,2024-07-27,A Bar Song (Tipsy),Shaboozey
2024,2024-11-02,2024-11-02,Love Somebody,Morgan Wallen
2024,2024-11-09,2024-11-09,A Bar Song (Tipsy),Shaboozey
2024,2024-12-07,2024-12-07,Squabble Up,Kendrick Lamar
2024,2024-12-14,2024-12-14,All I Want for Christmas Is You,Mariah Carey
2025,,,,
2025,2025-01-04,2025-01-04,All I Want for Christmas Is You,Mariah Carey
2025,2025-01-11,2025-01-11,"Die with a Smile "" †",Lady Gaga and Bruno Mars
2025,2025-02-08,2025-02-08,4x4,Travis Scott
2025,2025-02-15,2025-02-15,"Die with a Smile"" †",Lady Gaga and Bruno Mars
2025,2025-02-22,2025-02-22,Not Like Us,Kendrick Lamar
2025,2025-03-01,2025-03-01,Luther,Kendrick Lamar and SZA
2025,2025-05-31,2025-05-31,What I Want,Morgan Wallen featuring Tate McRae
2025,2025-06-07,2025-06-07,Ordinary,Alex Warren
2025,2025-06-21,2025-06-21,Manchild,Sabrina Carpenter
2025,2025-06-28,2025-06-28,Ordinary,Alex Warren
2025,2025-08-16,2025-08-16,Golden,"Huntrix : Ejae , Audrey Nuna and Rei Ami"
2025,2025-08-23,2025-08-23,Ordinary,Alex Warren
2025,2025-08-30,2025-08-30,Golden,"Huntrix: Ejae, Audrey Nuna and Rei Ami"
2025,2025-10-18,2025-10-18,The Fate of Ophelia,Taylor Swift
2025,2025-12-13,2025-12-13,All I Want for Christmas Is You,Mariah Carey
